id,recordDate,recordTime,date,shift,shiftStartAt,shiftEndAt,machineId,machineName,productName,partNo,step,workMinutes,timeSlots,minutesPerSlot,machineSpeed,cavityQty,normalMinutes,changeoverMinutes,inspectionMinutes,equipmentRepairMinutes,moldRepairMinutes,materialChangeMinutes,emergencyStopMinutes,meetingMinutes,plannedStopMinutes,goodQty,ngQty,testQty,note,createdAt,updatedAt,source
seed-1-ocp-80t-56,,,2026-02-25,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,843.67,168.73,5,120,2,20,0,155,0,583.67,0,0,85,0,3454,428,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-57,,,2026-02-26,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,662.78,132.56,5,120,2,50,0,100,0,422.78,15,0,75,0,13766,580,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-58,,,2026-02-27,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,1179.16,235.83,5,120,2,250,35,60,0,744.16,0,0,90,0,41120,84,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-59,,,2026-02-27,夜,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,1039.24,207.85,5,120,2,375,0,35,0,559.24,30,0,20,20,65178,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-60,,,2026-02-28,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,1104.05,220.81,5,100,2,210,205,105,0,479.05,15,0,90,0,40768,60,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-61,,,2026-03-02,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,1182.24,236.45,5,100,2,460,0,70,0,547.24,15,0,90,0,84058,120,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-62,,,2026-03-03,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,951.4,190.28,5,100,2,150,0,65,0,651.4,0,0,85,0,23488,280,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-63,,,2026-03-04,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,100,20,5,100,2,25,0,0,0,0,0,0,75,0,0,480,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-64,,,2026-03-05,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,1067.61,213.52,5,100,2,260,0,65,0,657.61,0,0,85,0,40328,280,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-65,,,2026-03-05,夜,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,263.8,52.76,5,100,2,65,0,30,0,63.8,10,0,10,85,15282,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-66,,,2026-03-09,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,409.09,81.82,5,100,2,140,10,60,0,159.09,0,0,40,0,26400,40,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-67,,,2026-03-10,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,1318.46,263.69,5,100,2,445,115,10,0,658.46,0,0,90,0,75692,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-68,,,2026-03-11,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,247.91,49.58,5,100,2,40,45,30,0,97.91,0,0,10,25,7354,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
